NGÀY PICK;TÊN THÙNG;TÊN KHÁCH HÀNG;TÊN HÃNG;SỐ TRACKING;SỐ ORDER;SỐ SẢN PHẨM;GHI CHÚ 1;GHI CHÚ 2
2/3/2022;CC1;DOPHAT;PUMA;142525636;;6-Oct;;
2/3/2022;CC1;DOPHAT;PUMA;1Z5XR8660259347730;;6-Dec;;
2/3/2022;CC1;PHANCITY;LACOSTE;1ZE98W210338822552;;1;;
2/3/2022;CC1;TXGIANG;LACOSTE;1ZE98W210313149390;;1;;
2/3/2022;CC1;TXGIANG;LACOSTE;1ZE98W210315686476;;2;;
2/3/2022;CC1;CHINHBN;NORDSTROM;C11800413803444;;3;;
2/3/2022;CC1;CHINHBN;NORDSTROM;C11800318458609;;3;;
2/3/2022;CC1;CHINHBN;.;C11800318455530;;2;NH;
2/3/2022;CC1;CHINHBN;.;C11800413800672;;2;NH;
2/3/2022;CC2;CHINHBN;WALMART;C11800318458641;;6;;
2/3/2022;CC2;CHINHBN;WALMART;C11800220243908;;6;;
2/3/2022;CC2;HOATUKD;.;C11800318456489;;1;;
2/3/2022;CC2;KIEUANH;.;C11800220243388;;1;;